Date,heading,detail,reference,Themes,type
2021-08-12,Self-isolation pilot for business travellers announced,"The government announces a self-isolation pilot as part of preparation for safely resuming quarantine-free travel. The pilot will run between October and December 2021 and will involve businesses and organisations that need to send staff overseas for a short trip. Self-isolation must be for 14 days in a private dwelling with no shared ventilation system. The dwelling must have cellular coverage. Monitoring and testing over the self-isolation period will be mandatory. Participants are required to be New Zealand citizens or holders of a resident visa with a right to re-enter New Zealand, to be fully vaccinated in New Zealand with the Pfizer vaccine, and to not travel to or through very high-risk countries. Travel must be for business purposes which cannot be carried out from New Zealand.","(Ardern, 2021a; Hipkins, 2021g)",Border control,Border
2021-08-11,Indonesia and Fiji classified as very high risk,"From midnight 15 August, travel from Indonesia and Fiji is restricted to New Zealand citizens, their partners and children, and parents of dependent children who are New Zealand citizens following designation as very high risk countries. Pre-departure testing is also required for those travelling from Indonesia. All other travellers must spend 14 days outside of Indonesia before travelling to New Zealand. India, Brazil, Pakistan and Papua New Guinea are already considered very high risk countries. ","(RNZ, 2021k)",Border control,Border
2021-08-11,Independent panel of experts recommends shorter MIQ stays for specific travellers,"A panel of experts, comprising of epidemiologist Sir David Skegg, clinical immunologist Maia Brewerton, public health physician Philip Hill, biostatistician Dr Ella Iosua, infectious diseases expert Professor David Murdoch and Immunisation Advisory Centre director Dr Nikki Turner, releases recommendations for the first phase of reopening the borders in 2022. The panel recommends shorter MIQ stays for fully vaccinated New Zealanders returning from a trip of up to a month, with pre-departure and on-arrival tests.","(Cheng, 2021e)",Border control,Border
2021-08-02,Government announces seasonal workers from certain Pacific Island nations allowed to travel to New Zealand without MIQ,"From September, Recognised Seasonal Employer (RSE) workers from Tonga, Samoa and Vanuatu are allowed to travel to New Zealand quarantine-free. Travellers will have to comply with their country’s quarantine requirements on return travel. ","(RNZ, 2021j)",Governance,Governance
2021-07-31,Middlemore Hospital worker in quarantine after PPE protocol incident during medical evacuation from Fiji,A health care worker at Middlemore Hospital is moved to quarantine as a precautionary measure after an incident relating to the use of PPE in the medical evacuation of a COVID-19 patient from Fiji to New Zealand. The COVID-19 patient seeking medical treatment is a UN worker.,"(NZ Herald, 2021g)",Border control,Border
2021-07-30,Largest mass vaccination event,"New Zealand’s largest mass vaccination event takes place at Vodafone Events Centre in South Auckland over three days from 30 July to 1 August 2021. The event seeks to increase Māori and Pasifika vaccination, specifically targeting Manukau Institute of Technology students and staff and their families. ","(Neilson, 2021a; 2021c)",Vaccination,Vaccination
2021-07-24,Minimum sick leave entitlement increases to 10 days,"On 27 May 2021, Parliament passed the Holidays (Increasing Sick Leave) Amendment Bill to increase the minimum employee sick leave entitlement from five days to 10 days per year. This takes effect from 24 July. ","(Employment New Zealand, 2021)",Governance,Governance
2021-07-23,Lanaco provides New Zealand-made face masks for Olympic team,"Lanaco supplies the New Zealand Olympic team with more than 70,000 disposable face masks. The masks are designed with respiratory filters using Helix technology from New Zealand sheep. The same technology has been chosen by NASA to protect astronauts on upcoming space missions.","(Scoop, 2021)",Personal protective equipment (PPE),PPE
2021-07-21,"Government spends over $250,000 on research relating to the Unite Against COVID-19 campaign","The Department of the Prime Minister and Cabinet has spent $252,945 on polling and focus groups relating to the government’s Unite Against COVID-19 campaign. The research sought to test messaging, concepts and brand effectiveness, and to understand how New Zealanders were feeling about COVID-19 and the associated public health measures.","(Neilson, 2021b)",Governance,Governance
2021-07-20,Reviews find clash between military and civilian culture in MIQs,"A series of reviews identify ongoing issues with the ability of the military to mesh with the civilian agencies in the running of New Zealand’s MIQ facilities. Issues noted in the reports include the difference between military and civilian approaches, and the traditional ranks structure of the military not working in a civilian world.","(Fisher, 2021)",Border control,Border
2021-07-19,Largest single delivery of Pfizer vaccines arrives ,"Over 370,000 doses of Pfizer vaccines arrive in New Zealand, surpassing the previous shipment of 150,000 doses.","(Neilson, 2021a)",Vaccination,Vaccination
2021-07-12,Staff shortages limit MIQ availability,Government briefings suggest that staff shortages of health and security staff are inhibiting more MIQ availability or a purpose-built quarantine facility. ,"(Coughlan, 2021b)",Border control,Border
2021-07-09,New Zealand postpones mercy flights from New South Wales,"The government announces repatriation flights out of New South Wales are postponed for at least three days. When returnees are rebooked, they will now have to spend 14 days in a managed isolation hotel, at no cost to themselves. ","(RNZ, 2021i)",Border control,Border
2021-07-07,"500,000 New Zealanders fully vaccinated ","1.2 million doses of the vaccine have been administered in New Zealand, with 500,000 people receiving two doses.","(Trevett, 2021)",Vaccination,Vaccination
2021-07-07,Medsafe grants provisional approval for Janssen vaccine ,The single-dose Janssen vaccine is the second COVID-19 vaccine to be approved for those aged 18 and older in New Zealand. Two million doses of the Janssen vaccine were obtained through an advance purchase in 2020. Cabinet is expected to make a decision about the use of the Janssen vaccine in August.,"(Trevett, 2021)",Vaccination,Vaccination
2021-07-02,The Economist ranks New Zealand second on ‘normalcy index’,"Based on an assessment of progress with eight variables – sports attendance, time at home, traffic congestion, retail football, office occupancy, flights, film box office and public transport – New Zealand is ranked second out of 50 countries by The Economist. Hong Kong tops the list for the ‘return to normal’ ranking. ","(RNZ, 2021h)",Governance,Governance
2021-06-30,Ombudsman releases report on inspections of aged care facilities under the Crimes of Torture Act 1989,"The report makes a series of recommendations and suggestions as a result of inspections of six secure aged care facilities between 27 May and 18 June 2020 (during Alert Levels 2 and 1). It covers matters including health and safety, contact with the outside world, dignity and respect, protective measures and staffing.","(Office of the Ombudsman, 2021)",Aged residential care,Aged residential care
